Season 1,,SPH SPORTS 2026-27 MASTER SCHEDULE,,,,,,,,,,,,,,,,,,
,,Color Code:,PRACTICE,,HOME GAMES,AWAY GAMES,,TOURNAMENTS,HOLIDAYS,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
,,Varsity Boys Soccer,Varsity Girls Soccer,,Varsity Boys Volleyball,Varsity Girls Volleyball,,SMP Boys Basketball,SMP Girls Basketball,,Varsity Swim,,Cross Country,,JS 5-6 Boys Basketball,JS 5-6 Girls Basketball,JS 3-4 Mixed Basketball,,,
Wed,16-Sep,,,,,,,,,,Practice AM,,,,,,,,,
Thur,17-Sep,,,,Practice Gym 2,Practice Gym 2,,,,,,,Practice,,Practice Gym 1,Practice Covered Tennis Courts,Practice Covered Tennis Courts,,,
Fri,18-Sep,,,,Practice Gym 2,Practice Gym 2,,Practice Gym 1,Practice Covered,,Practice,,,,,,,,,
Sat,19-Sep,,,,,,,AIS/STL @ LV,AIS/STL @ LV,,,,,,,,,,,
WEEK #9,,,,,,,,,,,,,,,,,,,,
Mon,21-Sep,Practice Main Field,Practice Side Field,,,,,Practice Gym 2,Practice Gym 2,,Practice,,Practice,,Practice Covered Tennis Courts,Practice Gym 1,Practice Covered Tennis Courts,,,
Tues,22-Sep,Practice Main Field,Practice Side Field,,Practice Gym 2,Practice Gym 2,,Practice Covered,Practice Gym 1,,,,,,,,,,,
Wed,23-Sep,,,,,,,,,,Practice AM,,,,,,,,,
Thur,24-Sep,,,,Practice Gym 2,Practice Gym 2,,,,,,,,,Practice Covered Tennis Courts,Practice Covered Tennis Courts,Practice Gym 1,,,
Fri,25-Sep,YPPH Retreat,,,,,,,,,,,,,,,,,,
Sat,26-Sep,,,,LV @ ACG,LV @ ACG,,ACG/BSJ @ LV,ACG/BSJ @ LV,,,,,,,,,,,
WEEK #10,,,,,,,,,,,,,,,,,,,,
Mon,28-Sep,Practice Main Field,Practice Side Field,,SPH Cup,SPH Cup,,Practice Outdoor courts,Practice Outdoor courts,,Practice,,Practice,,Practice Gym 1,Practice Covered Tennis Courts,Practice Covered Tennis Courts,,,
Tues,29-Sep,Practice Main Field,Practice Side Field,,,,,Practice Covered,Practice Gym 1,,,,,,,,,,,
Wed,30-Sep,,,,,,,,,,Practice AM,,,,,,,,,
Thur,1-Oct,,,,Practice Gym 2,Practice Gym 2,,,,,,,Practice,,Practice Covered Tennis Courts,Practice Gym 1,Practice Covered Tennis Courts,,,
Fri,2-Oct,LV @ BSJ,LV @ BSJ,,BSJ @ LV,BSJ @ LV,,Practice Gym 1,Practice Covered,,Practice,,,,,,,,,
Sat,3-Oct,,,,,,,,,,,,,,,,,,,
WEEK #11,,,,,,,,,,,,,,,,,,,,
Mon,5-Oct,Quarter Break,,,,,,,,,,,,,,,,,,
Tues,6-Oct,,,,,,,,,,,,,,,,,,,
Wed,7-Oct,,,,,,,,,,,,,,,,,,,
Thur,8-Oct,,,,,,,,,,,,,,,,,,,
Fri,9-Oct,,,,,,,,,,,,,,,,,,,
Sat,10-Oct,,,,,,,,,,,,,,,,,,,
WEEK #12,,,,,,,,,,,,,,,,,,,,
Mon,12-Oct,Practice Main Field,Practice Side Field,,,,,Practice Gym 1,Practice Gym 1,,Practice,,Practice,,Practice Covered Tennis Courts,Practice Covered Tennis Courts,Practice Gym 1,,,
Tues,13-Oct,Practice Main Field,Practice Side Field,,Practice Gym 2,Practice Gym 2,,,,,,,,,,,,,,
Wed,14-Oct,,,,,,,,,,Practice AM,,,,,,,,,
Thur,15-Oct,,,,Practice Gym 2,Practice Gym 2,,SPH Cup,,,,,Practice,,Practice Gym 1,Practice Covered Tennis Courts,Practice Covered Tennis Courts,,,
Fri,16-Oct,Practice Main Field,Practice Side Field,,JIS JV Cup,,,,,,Practice,,,,,,,,,
Sat,17-Oct,,,,,,,,,,,,,,,,,,,
WEEK #13,,,,,,,,,,,,,,,,,,,,
Mon,19-Oct,,Practice Side Field,,,,,Practice Gym 2,Practice Gym 2,,Practice,,Practice,,Practice Covered Tennis Courts,Practice Gym 1,Practice Covered Tennis Courts,,,
Tues,20-Oct,ACSC @ Grace,Practice Side Field,,ACSC @ HK,ACSC @ BKK,,Practice Gym 2,Practice Gym 2,,,,,, ,,,,,
Wed,21-Oct,,,,,,,,,,Practice AM,,,,,,,,,
Thur,22-Oct,,,,,,,,,,,,Practice,,Practice Gym 2,Practice Gym 2,Practice Gym 1,,,
Fri,23-Oct,,Practice Side Field,,,,,Practice Gym 2,Practice Gym 2,,Practice,,,,,,,,,
Sat,24-Oct,,,,,,,JAAC Finals,,,,,,,,,,,,
WEEK #14,,,,,,,,,,,,,,,,,,,,
Mon,26-Oct,Practice Main Field,Practice Side Field,,,,,,,,Practice,,Practice,,SPH Cup,SPH Cup,Practice Gym 1,,,
Tues,27-Oct,Practice Main Field,Practice Side Field,,Practice Gym 2 AM,Practice Gym 2 AM,,,,,,,,,,,,,,
Wed,28-Oct,,,,,,,,,,,,,,,,Basketball Festival,,,
Thur,29-Oct,,,,Practice Gym 2,Practice Gym 2,,`,,,ACSC @ YISS,,Practice,,,,,,,
Fri,30-Oct,Practice Main Field,Practice Side Field,,Practice Gym 2,Practice Gym 2,,,,,,,,,,,,,,
Sat,31-Oct,JAAC,JAAC,,JAAC,JAAC,,,,,,,,,,,,,,
WEEK #15,,,,,,,,,,,,,,,,,,,,
Mon,2-Nov,,,,,,,,,,,,Practice,,,,,,,
Tues,3-Nov,,,,,,,,,,,,,,,,,,,
Wed,4-Nov,,,,,,,,,,,,,,,,,,,
Thur,5-Nov,,,,,,,,,,,,Practice,, ,,,,,
Fri,6-Nov,,,,,,,,,,,,,,,,,,,
Sat,7-Nov,JAAC (alternate date),JAAC (alternate date),,JAAC (alternate date),JAAC (alternate date),,,,,,,,,,,,,,
WEEK #15,,,,,,,,,,,,,,,,,,,,
Mon,9-Nov,,,,,,,,,,,,Practice,,,,,,,
Tues,10-Nov,,,,,,,,,,,,,,,,,,,
Wed,11-Nov,,,,,,,,,,,,,,,,,,,
Thur,12-Nov,,,,,,,,,,,,Practice,,,,,,,
Fri,13-Nov,,,,,,,,,,,,,,,,,,,
Sat,14-Nov,,,,,,,,,,,,SPHLV XC INVITATIONAL,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
